brand,name_1,name_2,category,gender,base_price,url,image
Versace,Blue Jeans,,Eau de Toilette Spray,Men,BP: €186.00* / 1000 ml,/Versace/Mens-fragrances/Blue-Jeans/Eau-de-Toilette-Spray/index_15291.aspx,https://cdn.parfumdreams.de/Img/Art/13/Versace-Blue-Jeans-Eau-de-Toilette-Spray-15291_3.jpg
Armani,Emporio Armani,Emporio He,Eau de Toilette Spray,Men,"BP: €1,031.67* / 1000 ml",/Armani/Emporio-Armani-Parfums/Emporio-Armani/Eau-de-Toilette-Spray/index_11095.aspx,https://cdn.parfumdreams.de/Img/Art/13/Armani-Emporio-Armani-Emporio-He-Eau-de-Toilette-Spray-11095_6.jpg
Cartier,Pasha de Cartier,,Parfum,Men,"BP: €1,479.00* / 1000 ml",/Cartier/Mens-fragrances/Pasha-de-Cartier/Parfum/index_89307.aspx,https://cdn.parfumdreams.de/Img/Art/13/Cartier-Pasha-de-Cartier-Parfum-89307x1_5.jpg
Gucci,Gucci Guilty Pour Homme,,Eau de Toilette Spray,Men,BP: €899.00* / 1000 ml,/Gucci/Mens-fragrances/Gucci-Guilty-Pour-Homme/Eau-de-Toilette-Spray/index_31125.aspx,https://cdn.parfumdreams.de/Img/Art/13/Gucci-Gucci-Guilty-Pour-Homme-Eau-de-Toilette-Spray-31125x1_19.jpg
Hugo Boss,Hugo Man,,Eau de Toilette Spray,Men,BP: €599.33* / 1000 ml,/Hugo-Boss/Hugo-Mens-fragrances/Hugo-Man/Eau-de-Toilette-Spray/index_12896.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hugo-Boss-Hugo-Man-Eau-de-Toilette-Spray-12896x1_29.jpg
Burberry,Hero,,Eau de Parfum Spray,Men,"BP: €1,479.00* / 1000 ml",/Burberry/Mens-fragrances/Hero/Eau-de-Parfum-Spray/index_114737.aspx,https://cdn.parfumdreams.de/Img/Art/13/Burberry-Hero-Eau-de-Parfum-Spray-114737_10.jpg
Montblanc,Explorer,,Eau de Parfum Spray,Men,BP: €782.50* / 1000 ml,/Montblanc/Mens-fragrances/Explorer/Eau-de-Parfum-Spray/index_81752.aspx,https://cdn.parfumdreams.de/Img/Art/13/Montblanc-Explorer-Eau-de-Parfum-Spray-81752x1_14.jpg
DIOR,Dior Homme,,Cologne Spray,Men,BP: €972.67* / 1000 ml,/DIOR/Mens-fragrances/Dior-Homme/Cologne-Spray/index_41579.aspx,https://cdn.parfumdreams.de/Img/Art/13/DIOR-Dior-Homme-Cologne-Spray-41579_34.jpg
Armani,Acqua di Giò Homme,Profondo,Eau de Parfum Spray,Men,"BP: €1,598.75* / 1000 ml",/Armani/Emporio-Armani-Parfums/Acqua-di-Gio-Homme/Eau-de-Parfum-Spray/index_105112.aspx,https://cdn.parfumdreams.de/Img/Art/13/Armani-Acqua-di-Gio-Homme-Profondo-Eau-de-Parfum-Spray-105112_62.jpg
Hugo Boss,BOSS The Scent,Absolute,Eau de Parfum Spray,Men,"BP: €1,019.50* / 1000 ml",/Hugo-Boss/Boss-Black-Mens-fragrances/BOSS-The-Scent/Eau-de-Parfum-Spray/index_87048.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hugo-Boss-BOSS-The-Scent-Absolute-Eau-de-Parfum-Spray-87048x1_14.jpg
Cartier,Déclaration,,Gift Set,Men,BP: €85.95* / 1 pcs.,/Cartier/Mens-fragrances/Declaration/Gift-Set/index_122008.aspx,https://cdn.parfumdreams.de/Img/Art/13/Cartier-Declaration-Geschenkset-122008.jpg
Armani,Eaux Pour Homme,,Eau de Toilette Spray,Men,BP: €849.50* / 1000 ml,/Armani/Emporio-Armani-Parfums/Eaux-Pour-Homme/Eau-de-Toilette-Spray/index_40366.aspx,https://cdn.parfumdreams.de/Img/Art/13/Armani-Eaux-Pour-Homme-Eau-de-Toilette-Spray-40366.jpg
Hugo Boss,BOSS Bottled,Infinite,Eau de Parfum Spray,Men,"BP: €1,039.00* / 1000 ml",/Hugo-Boss/Boss-Black-Mens-fragrances/BOSS-Bottled/Eau-de-Parfum-Spray/index_85177.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hugo-Boss-BOSS-Bottled-Infinite-Eau-de-Parfum-Spray-85177x2_26.jpg
Dolce&Gabbana,The One For Men,,Eau de Toilette Spray,Men,"BP: €1,319.00* / 1000 ml",/DolceGabbana/Mens-fragrances/The-One-For-Men/Eau-de-Toilette-Spray/index_13095.aspx,https://cdn.parfumdreams.de/Img/Art/13/DolceGabbana-The-One-For-Men-Eau-de-Toilette-Spray-13095x1_14.jpg
Yves Saint Laurent,La Nuit De L'Homme,,Eau de Parfum Spray,Men,"BP: €1,039.50* / 1000 ml",/Yves-Saint-Laurent/Mens-fragrances/La-Nuit-De-LHomme/Eau-de-Parfum-Spray/index_86737.aspx,https://cdn.parfumdreams.de/Img/Art/13/Yves-Saint-Laurent-La-Nuit-De-LHomme-Eau-de-Parfum-Spray-86737x1_22.jpg
Bvlgari,Man in Black,,Eau de Parfum Spray,Men,"BP: €1,665.83* / 1000 ml",/Bvlgari/Mens-fragrances/Man-in-Black/Eau-de-Parfum-Spray/index_47282.aspx,https://cdn.parfumdreams.de/Img/Art/13/Bvlgari-Man-in-Black-Eau-de-Parfum-Spray-47282_27.jpg
Jean Paul Gaultier,Le Beau,,Eau de Toilette Spray,Men,BP: €906.00* / 1000 ml,/Jean-Paul-Gaultier/Mens-fragrances/Le-Beau/Eau-de-Toilette-Spray/index_86566.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jean-Paul-Gaultier-Le-Beau-Eau-de-Toilette-Spray-86566_20.jpg
Valentino,Uomo Born In Roma,Yellow Dream,Eau de Toilette Spray,Men,"BP: €1,279.00* / 1000 ml",/Valentino/Mens-fragrances/Uomo-Born-In-Roma/Eau-de-Toilette-Spray/index_97980.aspx,https://cdn.parfumdreams.de/Img/Art/13/Valentino-Uomo-Born-In-Roma-Yellow-Dream-Eau-de-Toilette-Spray-97980_4.jpg
Yves Saint Laurent,La Nuit De L'Homme,,Le Parfum,Men,"BP: €1,165.83* / 1000 ml",/Yves-Saint-Laurent/Mens-fragrances/La-Nuit-De-LHomme/Le-Parfum/index_29036.aspx,https://cdn.parfumdreams.de/Img/Art/13/Yves-Saint-Laurent-La-Nuit-De-LHomme-Le-Parfum-29036_17.jpg
Dolce&Gabbana,Light Blue pour homme,,Eau de Toilette Spray,Men,BP: €759.60* / 1000 ml,/DolceGabbana/Mens-fragrances/Light-Blue-pour-homme/Eau-de-Toilette-Spray/index_13082.aspx,https://cdn.parfumdreams.de/Img/Art/13/DolceGabbana-Light-Blue-pour-homme-Eau-de-Toilette-Spray-13082x2_17.jpg
Issey Miyake,L'Eau d'Issey pour Homme,,Eau de Toilette Spray,Men,BP: €812.67* / 1000 ml,/Issey-Miyake/Mens-fragrances/LEau-dIssey-pour-Homme/Eau-de-Toilette-Spray/index_17229.aspx,https://cdn.parfumdreams.de/Img/Art/13/Issey-Miyake-LEau-dIssey-pour-Homme-Eau-de-Toilette-Spray-17229x1_19.jpg
